n_test	n_gallery_kos	recall@1	recall@10	recall@100	recall@1000	pct_partially_accurate	ranking_score	ndcg	median_rank_true	cell	fold	method	alpha
5265	3704	0.0201329534662868	0.062108262108262105	0.21253561253561254	0.6535612535612536	2.01329534662868	0.9164360736153694	0.14265990789837343	544.0	U251MG	2	gallery_dual	0.8194376230239868
5265	3704	0.021082621082621083	0.06533713200379868	0.256980056980057	0.7513770180436847	2.1082621082621085	0.9363423865476871	0.15288811982012987	351.0	U251MG	2	gallery_fuse	0.8194376230239868
5265	3705	0.005318138651471985	0.030389363722697058	0.15650522317188983	0.6117758784425451	0.5318138651471985	0.9120708461258418	0.1207021635104125	647.0	U251MG	3	pearson_train_gallery	0.8548315167427063
5265	3705	0.019373219373219373	0.05811965811965812	0.20113960113960114	0.6491927825261159	1.9373219373219372	0.9162779374736573	0.14088725138681174	561.0	U251MG	3	gallery_dual	0.8548315167427063
5265	3705	0.016714150047483382	0.06419753086419754	0.26324786324786326	0.7604938271604939	1.671415004748338	0.9376617651906939	0.15026439114531961	343.0	U251MG	3	gallery_fuse	0.8548315167427063
5264	3698	0.006648936170212766	0.030775075987841946	0.1656534954407295	0.6098024316109423	0.6648936170212766	0.9108968628849171	0.122409410071831	638.5	U251MG	4	pearson_train_gallery	0.8729767203330994
5264	3698	0.018427051671732524	0.06591945288753799	0.21675531914893617	0.6576747720364742	1.8427051671732524	0.9170244463013577	0.1436909791134338	529.5	U251MG	4	gallery_dual	0.8729767203330994
5264	3698	0.01937689969604863	0.06990881458966565	0.268806990881459	0.7594984802431611	1.9376899696048633	0.9368952917887746	0.15367490819740817	330.0	U251MG	4	gallery_fuse	0.8729767203330994
5264	3698	0.003799392097264438	0.027925531914893616	0.15748480243161095	0.6120820668693009	0.3799392097264438	0.9114059480979496	0.11961711195459844	633.0	U251MG	5	pearson_train_gallery	0.8227423429489136
5264	3698	0.021656534954407294	0.060790273556231005	0.2013677811550152	0.646466565349544	2.1656534954407296	0.9150139701052087	0.14230166312028392	566.5	U251MG	5	gallery_dual	0.8227423429489136
5264	3698	0.01937689969604863	0.06268996960486323	0.25702887537993924	0.7617781155015197	1.9376899696048633	0.9368623360687821	0.15102091895454717	342.0	U251MG	5	gallery_fuse	0.8227423429489136
